	Hotel	Location	Code	Cost	Score	Rating	Walk.Grade	No. Restaurants	No. Attractions
6616	Hilton Garden Inn Jacksonville Airport	Jacksonville 	FL	NA	4.0	Very good	NA	NA	NA
6617	InTown Suites Jacksonville Atlantic	Jacksonville 	FL	NA	1.5	Poor	NA	NA	NA
6618	America's Best Inn, Jacksonville	Jacksonville 	FL	NA	2.0	Poor	40	29	2
6619	InTown Suites Jacksonville / Bay Meadows	Jacksonville 	FL	NA	1.0	Terrible	43	37	6
6620	Best USA Inn	Jacksonville 	FL	NA	2.0	Poor	NA	NA	NA
6621	Gator Lodge	Jacksonville 	FL	NA	NA	NA	NA	NA	NA
6622	Navy Lodge Mayport	Jacksonville 	FL	NA	4.5	Excellent	NA	NA	NA
6623	The Jenks House	Jacksonville 	FL	NA	5.0	Excellent	51	35	9
6624	St Johns House Bed and Breakfast	Jacksonville 	FL	NA	5.0	Excellent	75	79	19
6625	Flamingo Lake RV Resort	Jacksonville 	FL	NA	3.5	Very good	NA	NA	NA
6626	Navy Lodge Jacksonville	Jacksonville 	FL	NA	4.0	Very good	NA	NA	NA
6627	Navy Gateway Inn and Suites NAS Jax	Jacksonville 	FL	NA	4.0	Very good	NA	NA	NA
6628	Pecan Park RV Resort	Jacksonville 	FL	NA	3.5	Very good	NA	NA	NA
6629	Navy Gateway Inns & Suites	Jacksonville 	FL	NA	3.5	Very good	NA	NA	NA
6630	Sunshine Inn	Jacksonville 	FL	NA	3.5	Very good	NA	NA	NA
6631	Fleetwood RV Park	Jacksonville 	FL	NA	3.0	Average	NA	NA	NA
6632	Etta's motel	Jacksonville 	FL	NA	NA	NA	NA	NA	NA
6633	Economy Inn	Jacksonville 	FL	NA	NA	NA	NA	NA	NA
6634	City Center Motel	Jacksonville 	FL	NA	NA	NA	47	34	9
6635	Mount Vernon Motor Lodge	Jacksonville 	FL	NA	NA	NA	NA	NA	NA
6636	Super 8 Motel Jacksonville	Jacksonville 	FL	NA	2.5	Average	NA	NA	NA
6637	Regency Inn Jacksonville	Jacksonville 	FL	NA	1.0	Terrible	NA	NA	NA
6638	Cleary-Dickert House	Jacksonville 	FL	NA	2.5	Average	77	76	19
6639	Midtown Lodge & Golden Ox Lounge	Jacksonville 	FL	NA	2.0	Poor	NA	NA	NA
6640	Jax-American Motel	Jacksonville 	FL	NA	1.0	Terrible	NA	NA	NA
6641	Home2 Suites by Hilton Jacksonville Airport	Jacksonville 	FL	NA	NA	NA	NA	NA	NA
6642	Hampton Inn Jacksonville South / I-95 at JTB	Jacksonville 	FL	$110	4.5	Excellent	46	34	3
6643	Holiday Inn Express & Suites Jacksonville - Town Center	Jacksonville 	FL	NA	NA	NA	NA	NA	NA
6644	Best Airport Inn	Jacksonville 	FL	NA	1.5	Poor	36	44	1
6645	Jacksonville/Baymeadows Extended Stay Hotel	Jacksonville 	FL	NA	2.5	Average	43	37	6
6646	Studio 6 Jacksonville - Baymeadows	Jacksonville 	FL	NA	2.5	Average	39	31	3
6647	Hampton Inn & Suites Fort Worth Downtown	Fort Worth 	TX	$116	5.0	Excellent	97	46	23
6648	The Ashton Hotel	Fort Worth 	TX	$299	4.5	Excellent	100	71	32
6649	Radisson Fort Worth North at Fossil Creek	Fort Worth 	TX	$71	4.0	Very good	NA	NA	NA
6650	Omni Fort Worth Hotel	Fort Worth 	TX	$152	4.5	Excellent	91	30	11
6651	Best Western Fort Worth Inn & Suites	Fort Worth 	TX	$64	4.5	Excellent	55	29	2
6652	La Quinta by Wyndham Fort Worth North	Fort Worth 	TX	$76	4.0	Very good	NA	NA	NA
6653	TownePlace Suites by Marriott Fort Worth Downtown	Fort Worth 	TX	$94	4.5	Excellent	76	75	36
6654	Stockyards Hotel	Fort Worth 	TX	$149	4.5	Excellent	91	30	34
6655	Hyatt Place Fort Worth Historic Stockyards	Fort Worth 	TX	$116	4.5	Excellent	90	28	32
6656	Embassy Suites by Hilton Fort Worth Downtown	Fort Worth 	TX	$204	4.5	Excellent	100	71	31
6657	Hilton Garden Inn Fort Worth Medical Center	Fort Worth 	TX	$134	4.5	Excellent	62	53	8
6658	SpringHill Suites Fort Worth Fossil Creek	Fort Worth 	TX	$109	4.5	Excellent	NA	NA	NA
6659	Hyatt Place Fort Worth Cityview	Fort Worth 	TX	$93	4.5	Excellent	53	49	4
6660	Hilton Fort Worth	Fort Worth 	TX	$169	4.0	Very good	100	70	31
6661	Staybridge Suites West Fort Worth	Fort Worth 	TX	$87	4.5	Excellent	58	29	3
6662	The Texas White House Bed & Breakfast	Fort Worth 	TX	$225	5.0	Excellent	92	74	6
6663	Homewood Suites by Hilton Fort Worth - Medical Center	Fort Worth 	TX	$138	4.5	Excellent	60	42	7
6664	Hampton Inn & Suites Fort Worth-West/I-30	Fort Worth 	TX	$84	4.5	Excellent	50	23	8
6665	Hampton Inn & Suites Fort Worth Fossil Creek	Fort Worth 	TX	$83	4.5	Excellent	NA	NA	NA
6666	Hampton Inn and Suites North Fort Worth - Alliance Airport	Fort Worth 	TX	$111	4.0	Very good	NA	NA	NA
6667	Fairfield Inn & Suites Fort Worth Downtown/Convention Center	Fort Worth 	TX	NA	4.5	Excellent	98	48	17
6668	Hampton Inn Fort Worth Southwest Cityview	Fort Worth 	TX	$107	4.5	Excellent	53	73	3
6669	Fairfield Inn & Suites Fort Worth I-30 West Near NAS JRB	Fort Worth 	TX	$84	4.5	Excellent	49	23	8
6670	Homewood Suites Fort Worth West at Cityview	Fort Worth 	TX	$98	4.5	Excellent	46	37	3
6671	La Quinta Inn & Suites by Wyndham Ft. Worth - Forest Hill TX	Fort Worth 	TX	$86	4.0	Very good	NA	NA	NA
6672	Rosen House Inn	NA	TX	$109	5.0	Excellent	68	79	6
6673	Homewood Suites by Hilton Ft. Worth-North at Fossil Creek	Fort Worth 	TX	NA	4.0	Very good	36	16	0
6674	Lockheart Gables Romantic Bed & Breakfast	Fort Worth 	TX	$206	5.0	Excellent	36	40	0
6675	La Quinta by Wyndham Fort Worth City View	Fort Worth 	TX	$76	4.0	Very good	49	37	3
6676	Holiday Inn Dallas DFW Airport South	Fort Worth 	TX	$147	4.5	Excellent	63	26	3
6677	Country Inn & Suites by Radisson, Fort Worth, TX	Fort Worth 	TX	$76	4.0	Very good	NA	NA	NA
6678	Holiday Inn Express Hotel & Suites Fort Worth Downtown	Fort Worth 	TX	$101	4.0	Very good	69	95	40
6679	Holiday Inn Express Hotel & Suites Fort Worth (I-20)	Fort Worth 	TX	$80	4.0	Very good	53	50	4
6680	Sheraton Fort Worth Downtown Hotel	Fort Worth 	TX	$134	3.5	Very good	81	10	4
6681	Residence Inn by Marriott Fort Worth Cultural District	Fort Worth 	TX	$184	4.0	Very good	83	42	6
6682	Courtyard Fort Worth West at Cityview	Fort Worth 	TX	$94	4.0	Very good	47	37	3
6683	Holiday Inn Fort Worth North-Fossil Creek	Fort Worth 	TX	$71	4.0	Very good	NA	NA	NA
6684	Home2 Suites by Hilton Fort Worth Fossil Creek	Fort Worth 	TX	$92	4.5	Excellent	NA	NA	NA
6685	Courtyard by Marriott Fort Worth Fossil Creek	Fort Worth 	TX	$89	4.0	Very good	36	16	0
6686	Hilton Garden Inn Fort Worth Alliance Airport	Fort Worth 	TX	$105	4.0	Very good	NA	NA	NA
6687	Aloft Fort Worth Downtown	Fort Worth 	TX	$149	4.0	Very good	100	70	32
6688	Courtyard Fort Worth Historic Stockyards	Fort Worth 	TX	$105	4.0	Very good	91	31	32
6689	Country Inn & Suites by Radisson, Fort Worth West l-30 NAS JRB	Fort Worth 	TX	$67	4.0	Very good	NA	NA	NA
6690	TownePlace Suites by Marriott Fort Worth University Area/Medical Center	Fort Worth 	TX	$98	4.0	Very good	70	46	5
6691	Courtyard Fort Worth Downtown/Blackstone	NA	TX	$111	4.0	Very good	100	72	32
6692	Fairfield Inn & Suites Fort Worth/Fossil Creek	Fort Worth 	TX	$76	4.0	Very good	NA	NA	NA
6693	SpringHill Suites by Marriott Forth Worth University	Fort Worth 	TX	$84	4.0	Very good	74	45	8
6694	Comfort Inn	Fort Worth 	TX	$83	4.5	Excellent	43	38	1
6695	Fairfield Inn & Suites Fort Worth University Drive	Fort Worth 	TX	$119	4.0	Very good	76	44	6
6696	Comfort Suites North Fossil Creek	Fort Worth 	TX	$74	4.5	Excellent	36	16	0
6697	La Quinta Inn & Suites by Wyndham Fort Worth - Lake Worth	Fort Worth 	TX	$77	4.0	Very good	42	43	1
6698	Super 8 by Wyndham Fort Worth North	Fort Worth 	TX	$54	3.5	Very good	39	16	0
6699	Comfort Suites Fort Worth	Fort Worth 	TX	$69	4.0	Very good	NA	NA	NA
6700	Hilton Garden Inn Fort Worth/Fossil Creek	Fort Worth 	TX	$89	4.0	Very good	NA	NA	NA
6701	Dallas/Fort Worth Marriott Hotel & Golf Club at Champions Circle	Fort Worth 	TX	$107	4.0	Very good	NA	NA	NA
6702	La Quinta Inn & Suites by Wyndham Fort Worth West - I-30	Fort Worth 	TX	$79	3.5	Very good	42	26	8
6703	Holiday Inn Express & Suites Fort Worth - Fossil Creek	Fort Worth 	TX	$82	4.0	Very good	43	39	1
6704	Candlewood Suites DFW South	Fort Worth 	TX	$151	4.0	Very good	65	26	3
6705	Courtyard Fort Worth at Alliance Town Center	Fort Worth 	TX	$119	4.0	Very good	43	50	2
6706	Residence Inn Fort Worth Alliance Airport	Fort Worth 	TX	$219	4.0	Very good	NA	NA	NA
6707	The Olive Hotel	Fort Worth 	TX	$70	3.5	Very good	NA	NA	NA
6708	Motel 6 Fort Worth - Northside	Fort Worth 	TX	$50	3.5	Very good	42	13	0
6709	Quality Inn & Suites	Fort Worth 	TX	$65	3.5	Very good	NA	NA	NA
6710	Extended Stay America - Fort Worth - Medical Center	Fort Worth 	TX	NA	4.0	Very good	81	25	3
6711	Sleep Inn & Suites - Fossil Creek	Fort Worth 	TX	$71	5.0	Excellent	NA	NA	NA
6712	TownePlace Suites Fort Worth Northwest/Lake Worth	Fort Worth 	TX	$110	4.5	Excellent	42	40	1
6713	Americas Best Value Inn Forth Worth	Fort Worth 	TX	$49	4.0	Very good	NA	NA	NA
6714	Executive Inn Fort Worth West	Fort Worth 	TX	$58	4.0	Very good	NA	NA	NA
6715	Motel 6 Fort Worth North - Saginaw	Fort Worth 	TX	$60	4.0	Very good	NA	NA	NA
6716	Fairfield Inn & Suites Fort Worth Southwest	Fort Worth 	TX	$99	4.5	Excellent	NA	NA	NA
6717	Motel 6 Fort Worth - White Settlement	Fort Worth 	TX	$66	4.0	Very good	NA	NA	NA
6718	Extended Stay America - Fort Worth - Southwest	NA	TX	$62	4.0	Very good	55	49	4
6719	Extended Stay America - Fort Worth - Fossil Creek	Fort Worth 	TX	$66	4.0	Very good	NA	NA	NA
6720	Candlewood Suites - Fort Worth/Fossil Creek	Fort Worth 	TX	$64	3.5	Very good	37	16	0
6721	Super 8 by Wyndham Fort Worth North/Meacham Blvd	Fort Worth 	TX	$59	3.5	Very good	NA	NA	NA
6722	Courtyard by Marriott Fort Worth University Drive	Fort Worth 	TX	$125	3.5	Very good	84	39	7
6723	Holiday Inn Express & Suites Fort Worth West	Fort Worth 	TX	$87	4.0	Very good	NA	NA	NA
6724	TownePlace Suites Fort Worth Southwest/TCU Area	Fort Worth 	TX	$109	4.0	Very good	42	61	3
6725	Courtyard Fort Worth I-30 West Near NAS JRB	Fort Worth 	TX	$80	3.5	Very good	43	19	6
6726	Hotel Texas	Fort Worth 	TX	$89	2.0	Poor	91	25	31
6727	Staybridge Suites Fort Worth - Fossil Creek	Fort Worth 	TX	$86	4.5	Excellent	40	39	1
6728	Holiday Inn Express Suites Lake Worth NW Loop 820	Fort Worth 	TX	$79	3.5	Very good	NA	NA	NA
6729	Extended Stay America - Fort Worth - City View	Fort Worth 	TX	$76	3.5	Very good	52	38	3
6730	Scottish Inns Fort Worth	Fort Worth 	TX	$57	3.5	Very good	NA	NA	NA
6731	Microtel Inn & Suites by Wyndham Ft. Worth North/At Fossil	Fort Worth 	TX	$60	3.0	Average	NA	NA	NA
6732	OYO Hotel Fort Worth East Gateway Ball Park	Fort Worth 	TX	$52	2.0	Poor	NA	NA	NA
6733	Super 8 by Wyndham Fort Worth TX	Fort Worth 	TX	$50	2.5	Average	41	27	8
6734	Motel 6 Ft Worth North	Fort Worth 	TX	$47	2.0	Poor	NA	NA	NA
6735	Quality Inn	Fort Worth 	TX	$65	3.0	Average	NA	NA	NA
6736	America's Best Value Inn & Suites	Fort Worth 	TX	$65	3.0	Average	NA	NA	NA
6737	Motel 6 Fort Worth - Burleson	Fort Worth 	TX	$56	3.0	Average	NA	NA	NA
6738	Super 8 by Wyndham Fort Worth South	NA	TX	$59	3.0	Average	NA	NA	NA
6739	Red Roof Inn Fort Worth - Stockyards	Fort Worth 	TX	$49	2.5	Average	NA	NA	NA
6740	Studio 6 Fort Worth	Fort Worth 	TX	NA	1.0	Terrible	NA	NA	NA
6741	Knights Inn Fort Worth	Fort Worth 	TX	$45	1.0	Terrible	NA	NA	NA
6742	Scottish Inns-Campus	Fort Worth 	TX	$70	NA	NA	NA	NA	NA
6743	Stay Express Hotel Fort Worth	Fort Worth 	TX	$53	2.5	Average	NA	NA	NA
6744	Days Inn by Wyndham Fort Worth West	Fort Worth 	TX	$47	3.0	Average	NA	NA	NA
6745	Magnuson Hotel Fossil Creek	Fort Worth 	TX	$73	3.0	Average	43	44	1
6746	Relax Inn Fort Worth	Fort Worth 	TX	NA	2.0	Poor	NA	NA	NA
6747	Motel 6 Ft Worth Downtown East	Fort Worth 	TX	$49	2.0	Poor	NA	NA	NA
6748	Motel 6 Fort Worth - Seminary	Fort Worth 	TX	$50	2.5	Average	42	26	2
6749	Motel 6 Fort Worth	Fort Worth 	TX	$61	2.0	Poor	38	16	0
6750	Days Inn by Wyndham South Fort Worth	Fort Worth 	TX	$65	2.0	Poor	42	27	2
6751	Knights Inn Fort Worth TX	Fort Worth 	TX	$499	1.5	Poor	NA	NA	NA
6752	WoodSpring Suites Fort Worth Fossil Creek	Fort Worth 	TX	NA	3.5	Very good	NA	NA	NA
6753	Stay Alfred at Historic Electric Building	Fort Worth 	TX	NA	4.5	Excellent	NA	NA	NA
6754	Comfort Suites at Lake Worth	Fort Worth 	TX	NA	4.0	Very good	41	37	1
6755	Stay Alfred on Matisse Drive	Fort Worth 	TX	NA	4.0	Very good	NA	NA	NA
6756	HomeTowne Studios Dallas - Fort Worth by RedRoof	Fort Worth 	TX	NA	3.0	Average	36	16	0
6757	Hawthorn Suites by Wyndham Fort Worth/Medical Center	Fort Worth 	TX	NA	3.0	Average	85	26	3
6758	Oakwood Montevista	NA	TX	NA	NA	NA	NA	NA	NA
6759	Smallwood Corporate Housing	Fort Worth 	TX	NA	5.0	Excellent	81	78	38
6760	Miss Molly's Bed and Breakfast	Fort Worth 	TX	NA	4.0	Very good	92	30	34
6761	Motel 6	Fort Worth 	TX	NA	5.0	Excellent	NA	NA	NA
6762	Ranch Motel	Fort Worth 	TX	NA	5.0	Excellent	NA	NA	NA
6763	Super 7 Inn	Fort Worth 	TX	NA	3.5	Very good	42	24	2
6764	Navy Gateway Inns and Suites	Fort Worth 	TX	NA	3.5	Very good	NA	NA	NA
6765	Mustang Inn and Suites	Fort Worth 	TX	NA	3.5	Very good	NA	NA	NA
6766	Bed and Breakfast at the Ranch	Fort Worth 	TX	NA	4.0	Very good	NA	NA	NA
6767	Budget Suites of America	Fort Worth 	TX	NA	2.5	Average	NA	NA	NA
6768	All Seasons Motel	Fort Worth 	TX	NA	2.0	Poor	NA	NA	NA
6769	Deluxe Inn	NA	TX	NA	1.5	Poor	42	24	2
6770	La Mirage Inn	Fort Worth 	TX	NA	1.0	Terrible	NA	NA	NA
6771	Dalworth Inn	Fort Worth 	TX	NA	1.5	Poor	NA	NA	NA
6772	Colony Bed and Breakfast	Fort Worth 	TX	NA	NA	NA	NA	NA	NA
6773	Golden Gate Motel	Fort Worth 	TX	NA	NA	NA	43	27	4
6774	Fiesta Inn	Fort Worth 	TX	NA	NA	NA	NA	NA	NA
6775	Central Motel	Fort Worth 	TX	NA	NA	NA	NA	NA	NA
6776	Royal Inn Motel	Fort Worth 	TX	NA	NA	NA	NA	NA	NA
6777	Tower Motel	NA	TX	NA	NA	NA	36	14	2
6778	Tru by Hilton Fort Worth-Fossil Creek	Fort Worth 	TX	NA	NA	NA	NA	NA	NA
6779	La Quinta Inn & Suites by Wyndham Fort Worth Eastchase	Fort Worth 	TX	$89	4.5	Excellent	NA	NA	NA
6780	Hampton Inn & Suites Dallas / Ft. Worth Airport South	Fort Worth 	TX	$116	4.5	Excellent	64	26	3
6781	Etta's Place	Fort Worth 	TX	NA	4.5	Excellent	100	71	33
6782	Stay Alfred at Parker House	Fort Worth 	TX	NA	5.0	Excellent	NA	NA	NA
6783	Timber Oaks Bed & Breakfast	NA	TX	NA	5.0	Excellent	NA	NA	NA
6784	SpringHill Suites Fort Worth Historic Stockyards	Fort Worth 	TX	NA	NA	NA	NA	NA	NA
6785	Autograph Collection The Sinclair	Fort Worth 	TX	NA	NA	NA	NA	NA	NA
6786	Budget Host Inn Fort Worth	Fort Worth 	TX	NA	1.0	Terrible	NA	NA	NA
6787	Motel 6 Ft. Worth South	Fort Worth 	TX	NA	1.5	Poor	NA	NA	NA
6788	Best Western Plus Peak Vista Inn & Suites	Colorado Springs 	CO	$86	4.5	Excellent	38	524	61
6789	Garden of the Gods Resort and Club	Colorado Springs 	CO	$189	4.5	Excellent	51	536	155
6790	Best Western Plus Executive Residency Fillmore Inn	Colorado Springs 	CO	$97	4.5	Excellent	NA	NA	NA
6791	Best Western Executive Inn & Suites	Colorado Springs 	CO	$90	4.0	Very good	56	28	5
6792	The Mining Exchange a Wyndham Grand Hotel & Spa	Colorado Springs 	CO	$135	4.5	Excellent	96	83	33
6793	The Academy Hotel Colorado Springs	Colorado Springs 	CO	$79	4.0	Very good	46	62	4
6794	Drury Inn & Suites Colorado Springs	Colorado Springs 	CO	$94	4.5	Excellent	36	16	3
6795	The Broadmoor	Colorado Springs 	CO	$270	4.5	Excellent	76	14	7
6796	Hyatt Place Colorado Springs	Colorado Springs 	CO	$108	4.0	Very good	56	31	4
6797	Homewood Suites by Hilton Colorado Springs North	Colorado Springs 	CO	$103	4.5	Excellent	37	22	3
6798	Sonesta ES Suites Colorado Springs	Colorado Springs 	CO	$109	4.0	Very good	50	64	7
6799	Staybridge Suites Colorado Springs	Colorado Springs 	CO	$110	4.5	Excellent	37	510	61
6800	Residence Inn Colorado Springs North/Air Force Academy	Colorado Springs 	CO	NA	4.5	Excellent	NA	NA	NA
6801	Old Town Guesthouse B&B	Colorado Springs 	CO	$155	5.0	Excellent	94	31	22
6802	Radisson Hotel Colorado Springs Airport	Colorado Springs 	CO	$109	4.5	Excellent	NA	NA	NA
6803	Hampton Inn & Suites Colorado Springs/I-25 South	Colorado Springs 	CO	$117	4.5	Excellent	58	27	6
6804	Hilton Garden Inn Colorado Springs Airport	Colorado Springs 	CO	$98	4.5	Excellent	NA	NA	NA
6805	Hampton Inn & Suites Air Force Academy	Colorado Springs 	CO	$116	4.5	Excellent	NA	NA	NA
6806	Holden House 1902 Bed and Breakfast Inn	Colorado Springs 	CO	$185	5.0	Excellent	59	35	3
6807	SpringHill Suites Colorado Springs South	Colorado Springs 	CO	$104	4.5	Excellent	NA	NA	NA
6808	Holiday Inn Express and Suites Colorado Springs First and Main	Colorado Springs 	CO	$95	4.5	Excellent	62	56	3
6809	DoubleTree by Hilton Hotel Colorado Springs	Colorado Springs 	CO	NA	4.0	Very good	60	29	6
6810	Holiday Inn Colorado Springs Airport	Colorado Springs 	CO	$99	4.5	Excellent	NA	NA	NA
6811	The Antlers, A Wyndham Hotel	Colorado Springs 	CO	$110	4.0	Very good	98	71	27
6812	HYATT house Colorado Springs	Colorado Springs 	CO	$103	4.0	Very good	41	518	71
6813	Colorado Springs Marriott	Colorado Springs 	CO	$119	4.0	Very good	NA	NA	NA
6814	Quality Inn South	Colorado Springs 	CO	$89	4.0	Very good	58	29	5
6815	Fairfield Inn & Suites Colorado Springs South	Colorado Springs 	CO	NA	4.0	Very good	60	27	6
6816	Holiday Inn Express & Suites Colorado Springs North	Colorado Springs 	CO	$86	4.0	Very good	37	519	62
6817	Hampton Inn Colorado Springs Airport	NA	CO	$110	4.0	Very good	NA	NA	NA
6818	Quality Inn & Suites, Garden of the Gods	Colorado Springs 	CO	$80	4.0	Very good	58	31	4
6819	WoodSpring Suites Colorado Springs Airport	Colorado Springs 	CO	$65	4.0	Very good	NA	NA	NA
6820	Embassy Suites by Hilton Colorado Springs	Colorado Springs 	CO	$107	4.0	Very good	37	516	60
6821	ColoRADo Adventure Hostel	Colorado Springs 	CO	$59	4.5	Excellent	NA	NA	NA
6822	Garden of the Gods RV Resort	Colorado Springs 	CO	$86	3.5	Very good	48	23	4
6823	Spurs and Lace Bed and Breakfast Inn	Colorado Springs 	CO	$99	4.0	Very good	83	25	4
6824	Cheyenne Mountain Resort Colorado Springs, A Dolce Resort	Colorado Springs 	CO	$135	4.0	Very good	NA	NA	NA
6825	SCP Hotel Colorado Springs	Colorado Springs 	CO	$104	4.0	Very good	51	26	5
6826	Hotel Elegante Conference & Event Center	Colorado Springs 	CO	$123	3.5	Very good	56	27	5
6827	La Quinta Inn & Suites by Wyndham Colorado Springs South AP	Colorado Springs 	CO	$89	4.0	Very good	58	27	6
6828	Fairfield Inn & Suites Colorado Springs North/Air Force Academy	Colorado Springs 	CO	$99	4.0	Very good	NA	NA	NA
6829	Great Wolf Lodge Colorado Springs	Colorado Springs 	CO	$270	4.0	Very good	37	17	3
6830	MCM Elegante Suites	Colorado Springs 	CO	$97	4.0	Very good	NA	NA	NA
6831	Days Inn by Wyndham Colorado Springs Air Force Academy	Colorado Springs 	CO	$74	4.0	Very good	47	62	4
6832	My Place Hotel-Colorado Springs, CO	Colorado Springs 	CO	$83	4.0	Very good	44	18	3
6833	Stagecoach Motel	Colorado Springs 	CO	$59	4.0	Very good	86	48	6
6834	Holiday Inn Express & Suites - Colorado Springs AFA Northgate	Colorado Springs 	CO	NA	5.0	Excellent	NA	NA	NA
6835	La Quinta Inn & Suites by Wyndham Colorado Springs North	Colorado Springs 	CO	$76	3.5	Very good	46	60	4
6836	Holiday Inn Express Hotel & Suites Colorado Springs Dwtn Area	Colorado Springs 	CO	$108	4.5	Excellent	80	141	46
6837	Rainbow Lodge and Inn	Colorado Springs 	CO	$65	4.0	Very good	48	23	4
6838	Holiday Inn Express Colorado Springs Airport	Colorado Springs 	CO	$95	4.0	Very good	NA	NA	NA
6839	Hilton Garden Inn Colorado Springs Downtown	Colorado Springs 	CO	$118	4.5	Excellent	NA	NA	NA
6840	Comfort Inn North - Air Force Academy Area	Colorado Springs 	CO	$79	3.5	Very good	NA	NA	NA
6841	Courtyard Colorado Springs South	Colorado Springs 	CO	$99	4.0	Very good	NA	NA	NA
6842	Buffalo Lodge	Colorado Springs 	CO	$104	3.5	Very good	46	14	3
6843	Fairfield Inn & Suites Colorado Springs Air Force Academy	Colorado Springs 	CO	$99	4.0	Very good	39	526	62
6844	Baymont by Wyndham Colorado Springs	Colorado Springs 	CO	NA	3.5	Very good	45	61	4
6845	Residence Inn Colorado Springs South	Colorado Springs 	CO	$169	4.0	Very good	60	27	6
6846	Black Forest Bed and Breakfast	Colorado Springs 	CO	$150	4.5	Excellent	NA	NA	NA
6847	La Quinta Inn by Wyndham Colorado Springs Garden of the Gods	Colorado Springs 	CO	$68	3.5	Very good	52	44	4
6848	Travelodge by Wyndham Colorado Springs/Hwy 24 E	Colorado Springs 	CO	$65	3.5	Very good	NA	NA	NA
6849	Quality Inn	Colorado Springs 	CO	$67	3.5	Very good	NA	NA	NA
6850	Satellite Hotel	Colorado Springs 	CO	$67	3.5	Very good	NA	NA	NA
6851	Garden of the Gods Motel	Colorado Springs 	CO	$69	3.5	Very good	78	58	25
6852	Extended Stay America - Colorado Springs - West	Colorado Springs 	CO	$76	3.0	Average	NA	NA	NA
6853	Super 8 by Wyndham Colorado Springs/Afa Area	Colorado Springs 	CO	$60	3.0	Average	47	60	4
6854	Chateau Motel	Colorado Springs 	CO	$70	4.0	Very good	69	53	10
6855	Knights Inn Colorado Springs Central	Colorado Springs 	CO	NA	2.0	Poor	68	37	12
6856	HomeTowne Studios Colorado Springs - Airport	NA	CO	$50	2.0	Poor	NA	NA	NA
6857	Econo Lodge North Academy	Colorado Springs 	CO	$54	3.0	Average	45	62	4
6858	Super 8 by Wyndham Cos/Hwy. 24 E/Pafb Area	NA	CO	$53	3.0	Average	NA	NA	NA
6859	Rodeway Inn	Colorado Springs 	CO	NA	2.5	Average	40	44	5
6860	Days Inn by Wyndham Colorado Springs/Garden of the Gods	Colorado Springs 	CO	$75	2.0	Poor	61	46	4
6861	Days Inn by Wyndham Colorado Springs Airport	Colorado Springs 	CO	NA	2.5	Average	NA	NA	NA
6862	True North Motel	Colorado Springs 	CO	$70	3.0	Average	69	35	8
6863	Travelers Uptown Motel	Colorado Springs 	CO	$69	2.5	Average	90	24	6
6864	Studio 6 Colorado Springs, CO	Colorado Springs 	CO	$65	1.5	Poor	40	56	4
6865	Springhill Suites Colorado Springs North/Air Force Academy	Colorado Springs 	CO	$110	NA	NA	NA	NA	NA
6866	WoodSpring Suites Colorado Springs	Colorado Springs 	CO	$70	3.0	Average	NA	NA	NA
6867	Travel Inn	Colorado Springs 	CO	$80	2.0	Poor	90	24	7
6868	Home2 Suites by Hilton Colorado Springs South	Colorado Springs 	CO	$143	NA	NA	NA	NA	NA
6869	The Voights House	Colorado Springs 	CO	$100	NA	NA	NA	NA	NA
6870	Lofty Living Bud and Breakfast	Colorado Springs 	CO	NA	NA	NA	NA	NA	NA
6871	Fairfield Inn & Suites by Marriott Colorado Springs East/ballpark	Colorado Springs 	CO	$116	NA	NA	NA	NA	NA
6872	Mountain Song	Colorado Springs 	CO	NA	2.0	Poor	NA	NA	NA
6873	Travelodge by Wyndham Colorado Springs	Colorado Springs 	CO	$57	2.5	Average	88	24	12
6874	Motel 6 Colorado Springs	Colorado Springs 	CO	$52	2.5	Average	NA	NA	NA
6875	Baymont by Wyndham Colorado Springs/Garden of the Gods	Colorado Springs 	CO	$71	3.0	Average	52	51	4
6876	Rodeway Inn and Suites	Colorado Springs 	CO	$55	3.0	Average	85	48	6
6877	Super 8 by Wyndham Colorado Springs/Chestnut Street	Colorado Springs 	CO	$43	2.5	Average	NA	NA	NA
6878	TravelStar Inn & Suites	Colorado Springs 	CO	$65	2.5	Average	87	48	6
6879	Econo Lodge Downtown	Colorado Springs 	CO	$59	2.5	Average	70	83	30
6880	Springs Inn	Colorado Springs 	CO	$67	1.5	Poor	67	96	23
6881	Howard Johnson by Wyndham Colorado Springs	Colorado Springs 	CO	$55	2.0	Poor	77	49	9
6882	Super 8 by Wyndham Colo. Sprs. Garden of the Gods	NA	CO	$57	3.0	Average	53	40	4
6883	Super 8 by Wyndham Colorado Springs Airport	Colorado Springs 	CO	$55	2.5	Average	NA	NA	NA
6884	The Broadmoor Ranch at Emerald Valley	Colorado Springs 	CO	NA	5.0	Excellent	NA	NA	NA
6885	Circle S Motel	Colorado Springs 	CO	$95	4.5	Excellent	85	48	6
6886	Mystic Portal Bed & Breakfast	Colorado Springs 	CO	$179	3.5	Very good	51	27	2
6887	Lennox House Bed and Breakfast	Colorado Springs 	CO	NA	4.5	Excellent	43	879	185
6888	Crescent Lily Inn	Colorado Springs 	CO	NA	4.5	Excellent	93	53	19
6889	Fox Run Bed And Breakfast	Colorado Springs 	CO	NA	5.0	Excellent	NA	NA	NA
6890	Colorado Springs Extended Stay Hotel	Colorado Springs 	CO	NA	2.5	Average	NA	NA	NA
