	Hotel	Location	Code	Cost	Score	Rating	Walk.Grade	No. Restaurants	No. Attractions
10890	Econo Lodge Parkway / Historic Area	Williamsburg 	VA	$45	3.5	Very good	64	15	5
10891	Parkside Resort by Kees Vacations	Williamsburg 	VA	NA	5.0	Excellent	NA	NA	NA
10892	Bassett Motel	Williamsburg 	VA	$50	3.5	Very good	57	19	6
10893	OYO Hotel Willamsburg Historic District East	Williamsburg 	VA	$30	3.0	Average	NA	NA	NA
10894	Econo Lodge Pottery	Williamsburg 	VA	NA	3.0	Average	NA	NA	NA
10895	Quarterpath Inn & Suites	Williamsburg 	VA	NA	3.5	Very good	58	25	6
10896	Budget Inn Williamsburg	Williamsburg 	VA	NA	3.5	Very good	62	20	7
10897	Pineapple Inn and Housing Center	Williamsburg 	VA	NA	3.5	Very good	63	10	5
10898	Brick House Inn	Williamsburg 	VA	NA	4.0	Very good	69	28	16
10899	Motel Zuma	Williamsburg 	VA	$70	3.0	Average	51	17	7
10900	Capt. John Smith Inn	Williamsburg 	VA	$40	2.5	Average	72	40	14
10901	Howard Johnson by Wyndham Williamsburg	Williamsburg 	VA	$47	2.5	Average	52	16	7
10902	America's Inn	Williamsburg 	VA	$55	2.0	Poor	83	31	6
10903	Super 8 by Wyndham Williamsburg Pottery	Williamsburg 	VA	$50	1.5	Poor	55	17	7
10904	Travelodge Inn & Suites by Wyndham Historic Area	Williamsburg 	VA	$43	2.5	Average	69	18	7
10905	George Washington Inn	Williamsburg 	VA	$50	2.5	Average	61	25	6
10906	Family Inns of America Williamsburg	Williamsburg 	VA	NA	2.0	Poor	60	25	10
10907	Motel 6 Williamsburg	Williamsburg 	VA	NA	2.0	Poor	60	26	13
10908	Applewood Colonial Bed and Breakfast	Williamsburg 	VA	NA	5.0	Excellent	87	54	46
10909	Hughes Guest Home	Williamsburg 	VA	NA	5.0	Excellent	78	35	42
10910	Rochambeau Motel	Williamsburg 	VA	NA	3.0	Average	45	301	111
10911	Country Cottage-A Williamsburg Bed and Breakfast	Williamsburg 	VA	NA	NA	NA	56	23	9
10912	Tamarack Resorts	Williamsburg 	VA	NA	NA	NA	62	17	3
10913	Hite's Bed and Breakfast	Williamsburg 	VA	NA	NA	NA	66	25	9
10914	Wyndham Governor's Green	Williamsburg 	VA	NA	4.0	Very good	66	51	13
10915	Williamsburg / Busch Gardens Area KOA	Williamsburg 	VA	NA	4.5	Excellent	NA	NA	NA
10916	Wyndham Patriots Place	Williamsburg 	VA	NA	4.0	Very good	67	46	11
10917	Wyndham Kingsgate	Williamsburg 	VA	NA	4.0	Very good	64	62	14
10918	Patriots Inn	Williamsburg 	VA	NA	4.5	Excellent	76	26	6
10919	Brookshire Suites Inner Harbor, BW Premier Collection	Baltimore 	MD	$70	4.0	Very good	100	129	37
10920	Hyatt Place Baltimore / Inner Harbor	Baltimore 	MD	$135	4.5	Excellent	100	86	18
10921	Royal Sonesta Harbor Court Baltimore	Baltimore 	MD	$169	4.5	Excellent	90	32	16
10922	Kimpton Hotel Monaco Baltimore Inner Harbor	Baltimore 	MD	$135	4.5	Excellent	100	135	21
10923	Days Inn by Wyndham Baltimore Inner Harbor	Baltimore 	MD	$89	4.0	Very good	100	98	17
10924	Baltimore Marriott Waterfront	NA	MD	$229	4.0	Very good	100	74	18
