	Hotel	Location	State	Cost	Score	Rating	Walk.Grade	No. Restaurants	No. Attractions
103	La Quinta Inn & Suites by Wyndham San Antonio Northwest	San Antonio 	TX	$71	4.0	Very good	NA	NA	NA
104	Hilton Garden Inn San Antonio Downtown	San Antonio 	TX	$125	4.0	Very good	100	180	82
105	Embassy Suites by Hilton San Antonio Brooks Hotel & Spa	San Antonio 	TX	$121	4.5	Excellent	NA	NA	NA
106	Embassy Suites by Hilton San Antonio Riverwalk-Downtown	San Antonio 	TX	$161	4.5	Excellent	100	125	37
107	Hampton Inn & Suites San Antonio Lackland AFB SeaWorld	San Antonio 	TX	$89	4.5	Excellent	56	39	2
108	Home2 Suites by Hilton San Antonio Airport	San Antonio 	TX	$84	4.5	Excellent	47	39	4
109	Hyatt Place San Antonio Airport/Quarry Market	San Antonio 	TX	$95	4.0	Very good	45	41	3
110	Comfort Suites San Antonio North - Stone Oak	San Antonio 	TX	$76	4.5	Excellent	54	55	3
111	Homewood Suites by Hilton San Antonio Airport	San Antonio 	TX	$98	4.0	Very good	51	47	5
112	Staybridge Suites San Antonio NW Medical Center	San Antonio 	TX	$86	4.5	Excellent	55	59	3
113	Fairfield Inn & Suites San Antonio Alamo Plaza/Convention Center	San Antonio 	TX	$95	4.0	Very good	95	78	48
114	Four Points by Sheraton San Antonio Airport	San Antonio 	TX	$102	4.5	Excellent	46	45	5
115	Best Western Plus San Antonio East Inn & Suites	San Antonio 	TX	$95	4.5	Excellent	NA	NA	NA
116	Hampton Inn San Antonio - Northwoods	NA	TX	$90	4.0	Very good	39	37	3
117	Homewood Suites by Hilton Hotel San Antonio North	San Antonio 	TX	$103	4.0	Very good	41	50	2
118	Homewood Suites by Hilton San Antonio Northwest	San Antonio 	TX	$112	4.0	Very good	52	57	3
119	Hotel Valencia Riverwalk	San Antonio 	TX	$174	4.5	Excellent	100	160	62
120	Omni San Antonio Hotel	San Antonio 	TX	$129	4.5	Excellent	58	59	3
121	Holiday Inn Express Hotel & Suites San Antonio Rivercenter Area	San Antonio 	TX	$96	4.0	Very good	74	12	5
122	Hampton Inn & Suites San Antonio-Downtown/Market Square	San Antonio 	TX	$98	4.0	Very good	87	274	116
123	Hampton Inn & Suites San Antonio Northwest/Medical Center	San Antonio 	TX	$80	4.0	Very good	41	49	4
124	Drury Inn & Suites San Antonio Northwest Medical Center	NA	TX	$85	4.0	Very good	61	62	5
125	Drury Inn & Suites San Antonio Northeast	San Antonio 	TX	$81	4.5	Excellent	NA	NA	NA
126	Bahia Resort Hotel	San Diego 	CA	$199	4.5	Excellent	80	19	6
127	Hard Rock Hotel San Diego	San Diego 	CA	$167	4.5	Excellent	100	144	40
128	Paradise Point Resort & Spa	San Diego 	CA	$309	4.0	Very good	45	34	8
129	Kings Inn San Diego	San Diego 	CA	$74	4.5	Excellent	44	43	3
130	Hotel Indigo San Diego Gaslamp Quarter	San Diego 	CA	$114	4.5	Excellent	100	221	59
131	The Beach Cottages	San Diego 	CA	$130	4.5	Excellent	100	89	10
132	Manchester Grand Hyatt San Diego	San Diego 	CA	$179	4.5	Excellent	100	52	24
133	La Jolla Cove Hotel & Suites	La Jolla 	CA	$124	3.5	Very good	100	60	34
134	Old Town Inn	San Diego 	CA	$100	4.5	Excellent	96	36	18
135	Wyndham San Diego Bayside	San Diego 	CA	$118	3.5	Very good	98	40	15
136	Catamaran Resort Hotel and Spa	San Diego 	CA	$169	4.5	Excellent	93	36	4
137	Pacific Terrace Hotel	San Diego 	CA	$360	4.5	Excellent	94	47	6
138	The Sofia Hotel	San Diego 	CA	$137	4.0	Very good	100	165	37
139	Blue Sea Beach Hotel	San Diego 	CA	$213	4.5	Excellent	94	41	5
140	Hyatt Regency Mission Bay Spa and Marina	San Diego 	CA	$179	4.0	Very good	60	1416	236
141	InterContinental San Diego	San Diego 	CA	$147	4.5	Excellent	100	41	15
142	Hilton Garden Inn San Diego Old Town / SeaWorld Area	San Diego 	CA	$124	4.5	Excellent	95	13	16
143	Red Roof Inn San Diego - Pacific Beach/SeaWorld	NA	CA	$69	4.5	Excellent	58	19	4
144	Hilton San Diego Resort & Spa	San Diego 	CA	$148	4.0	Very good	53	20	3
145	Kona Kai Resort & Spa, A Noble House Resort	San Diego 	CA	$169	4.0	Very good	41	1550	389
